stationID,CONTINENT,lon,lat,WMO_zone,percent_rank_level_EWM_His,percent_rank_level_EWM_soc_126,percent_rank_level_EWM_soc_585
644,Oceania,146.5,-36.836982706677,3,3,5,7
645,Oceania,147.5,-36.836982706677,3,3,3,3
646,Oceania,148.5,-36.836982706677,3,2,3,3
647,Oceania,149.5,-36.836982706677,3,2,4,7
649,Oceania,174.5,-36.836982706677,6,8,8,8
650,Oceania,175.5,-36.836982706677,4,8,4,6
652,South America,-72.5,-35.836982706677,3,3,6,8
653,South America,-71.5,-35.836982706677,3,3,6,8
654,South America,-70.5,-35.836982706677,3,4,3,3
655,South America,-69.5,-35.836982706677,3,4,4,6
656,South America,-68.5,-35.836982706677,3,4,3,3
657,South America,-67.5,-35.836982706677,1,4,3,3
658,South America,-66.5,-35.836982706677,1,4,3,3
659,South America,-65.5,-35.836982706677,1,4,3,3
660,South America,-64.5,-35.836982706677,1,5,4,5
661,South America,-63.5,-35.836982706677,1,5,5,7
662,South America,-62.5,-35.836982706677,1,5,5,7
663,South America,-61.5,-35.836982706677,1,6,5,7
664,South America,-60.5,-35.836982706677,1,6,6,7
665,South America,-59.5,-35.836982706677,1,6,5,7
666,South America,-58.5,-35.836982706677,1,6,6,7
667,South America,-57.5,-35.836982706677,1,6,5,6
670,Oceania,137.5,-35.836982706677,5,4,3,3
672,Oceania,139.5,-35.836982706677,1,3,4,6
673,Oceania,140.5,-35.836982706677,1,2,2,3
674,Oceania,141.5,-35.836982706677,1,2,2,2
675,Oceania,142.5,-35.836982706677,1,2,2,3
676,Oceania,143.5,-35.836982706677,1,2,4,6
677,Oceania,144.5,-35.836982706677,1,2,3,4
678,Oceania,145.5,-35.836982706677,1,3,3,5
679,Oceania,146.5,-35.836982706677,1,3,3,4
680,Oceania,147.5,-35.836982706677,3,4,5,6
681,Oceania,148.5,-35.836982706677,3,4,3,6
682,Oceania,149.5,-35.836982706677,3,2,6,8
685,Oceania,174.5,-35.836982706677,4,8,7,8
688,South America,-71.5,-34.836982706677,3,3,6,7
689,South America,-70.5,-34.836982706677,3,3,6,7
690,South America,-69.5,-34.836982706677,3,3,3,4
691,South America,-68.5,-34.836982706677,2,3,6,7
692,South America,-67.5,-34.836982706677,1,4,5,7
